,track_name,artist_name,energy,key,speechiness,acousticness,instrumentalness,liveness
289,Juicy,Doja Cat,0.652,0,0.0668,0.102,0.0,0.0697
290,Blueberry Faygo,Lil Mosey,0.554,0,0.0383,0.207,0.0,0.132
291,American Boy,Estelle,0.729,0,0.326,0.171,0.0,0.07
292,Can't Stop Singing,Ross Lynch,0.69,0,0.0341,0.51,0.0,0.102
293,Like That (feat. Gucci Mane),Doja Cat,0.487,2,0.194,0.237,0.0,0.0978
294,Gimme Love,Joji,0.632,5,0.0976,0.695,0.0243,0.209
295,Mine,Bazzi,0.803,4,0.0795,0.0148,4e-06,0.29
296,What They Want,Russ,0.404,1,0.379,0.484,0.0,0.0953
297,La La La,Naughty Boy,0.677,6,0.0316,0.112,0.0,0.111
298,ROXANNE,Arizona Zervas,0.601,6,0.148,0.0522,0.0,0.46
299,Homage,Mild High Club,0.468,5,0.0287,0.153,0.00257,0.321
300,Opaul,Freddie Dredd,0.871,1,0.214,0.00567,0.391,0.101
301,"Part of Your World - From ""The Little Mermaid"" / Soundtrack Version",Jodi Benson,0.132,5,0.0386,0.914,0.000707,0.281
302,Relationship (feat. Future),Young Thug,0.597,2,0.0627,0.00252,0.0,0.124
303,Borderline,Tame Impala,0.873,5,0.0369,0.0406,9.1e-06,0.0824
304,Renee,SALES,0.386,9,0.0548,0.755,0.00253,0.118
305,Don't Start Now,Dua Lipa,0.793,11,0.0842,0.0125,0.0,0.0952
306,Freak (feat. REI AMI),Sub Urban,0.45,7,0.515,0.433,0.0,0.513
307,Candy,Doja Cat,0.516,8,0.0444,0.513,0.0,0.163
308,Ophelia,The Lumineers,0.573,5,0.0277,0.613,0.000363,0.0857
309,Violent Crimes,Kanye West,0.417,1,0.524,0.374,0.0,0.186
310,Someone To You,BANNERS,0.93,2,0.0441,0.0056,0.0,0.242
311,Plastic Hearts,Miley Cyrus,0.756,2,0.0652,0.0511,0.0,0.0765
312,Primadonna,MARINA,0.689,4,0.0337,0.0884,0.0,0.0922
313,Check It Out,will.i.am,0.694,1,0.0572,0.0493,1.15e-05,0.105
314,Hood Baby,KBFR,0.472,11,0.447,0.0488,0.000157,0.116
315,Shoota (feat. Lil Uzi Vert),Playboi Carti,0.649,1,0.196,0.188,0.0,0.122
316,I Just Want to Be the One You Love,Boxout,0.349,9,0.0877,0.967,0.037,0.228
317,Make You Mine,PUBLIC,0.799,9,0.0261,0.0128,0.0,0.15
318,To Be So Lonely,Harry Styles,0.436,0,0.0418,0.618,1.61e-05,0.335
319,Hotel Room Service,Pitbull,0.599,6,0.227,0.00301,0.000249,0.0763
320,M to the B,Millie B,0.513,10,0.309,0.571,0.0,0.101
321,Say So (feat. Nicki Minaj),Doja Cat,0.641,11,0.204,0.119,4.97e-06,0.427
322,What's My Name?,Rihanna,0.786,2,0.0692,0.229,0.0,0.0797
323,Whatcha Say,Jason Derulo,0.711,11,0.0779,0.0444,0.0,0.145
324,Hey Julie! (feat. Lil Yachty),KYLE,0.505,11,0.293,0.0446,9.52e-06,0.122
