,energy,key,speechiness,acousticness,instrumentalness,liveness,popularity
423,0.298,5,0.0542,0.125,3.19e-05,0.0678,1
424,0.803,1,0.0351,0.0709,0.285,0.348,1
425,0.743,10,0.28,0.016,0.0,0.127,1
426,0.413,8,0.101,0.671,7.95e-05,0.17,1
427,0.75,8,0.117,0.109,0.0,0.174,1
428,0.627,7,0.639,0.0758,0.0,0.108,1
429,0.446,10,0.0433,0.102,0.0,0.321,1
430,0.801,9,0.0441,0.00124,0.0,0.479,1
431,0.827,9,0.042,0.00533,0.338,0.217,1
432,0.538,2,0.394,0.123,0.0,0.0848,1
433,0.66,1,0.079,0.256,0.0,0.111,1
434,0.597,2,0.207,0.587,3.62e-06,0.112,1
435,0.61,0,0.0439,0.323,0.0,0.102,1
436,0.696,10,0.204,0.00576,0.000498,0.0754,1
437,0.733,7,0.178,0.0533,0.000115,0.102,1
438,0.81,4,0.0288,0.00719,0.00251,0.165,1
439,0.479,4,0.44,0.703,0.0,0.102,1
440,0.655,9,0.0363,0.205,0.000535,0.1,1
441,0.823,2,0.0394,0.213,0.0,0.322,1
442,0.78,5,0.0517,0.00244,0.0,0.0714,1
443,0.642,1,0.194,0.238,0.0,0.359,1
444,0.696,4,0.0866,0.331,0.000119,0.121,1
445,0.825,2,0.278,0.00166,0.000284,0.361,1
446,0.594,0,0.43,0.965,0.255,0.129,1
447,0.583,8,0.027,0.023,0.582,0.0809,1
448,0.668,5,0.055,0.0932,2.33e-06,0.112,1
449,0.473,10,0.0607,0.641,0.000459,0.0939,1
450,0.401,7,0.22,0.464,0.0,0.0657,1
451,0.79,2,0.0311,0.135,3.97e-06,0.0989,1
452,0.742,8,0.0528,0.0162,3.98e-06,0.653,1
453,0.653,7,0.289,0.378,0.0,0.229,1
454,0.805,11,0.154,0.00478,1.09e-06,0.0887,1
455,0.61,4,0.0488,0.0227,0.00744,0.102,1
456,0.439,4,0.338,0.00506,0.0,0.092,1
457,0.701,6,0.237,0.314,0.0,0.123,1
458,0.425,10,0.137,0.0335,4.36e-06,0.108,1
459,0.436,0,0.0351,0.67,0.263,0.294,1
460,0.603,8,0.226,0.0272,0.000503,0.167,1
461,0.63,5,0.117,0.471,0.262,0.205,1
462,0.659,3,0.231,0.206,7.88e-05,0.279,1
463,0.612,11,0.211,0.00185,0.0,0.308,1
464,0.637,8,0.0572,0.0476,6.15e-05,0.35,1
465,0.509,0,0.467,0.192,1.49e-06,0.115,1
466,0.564,8,0.047,0.0266,0.0,0.0874,1
467,0.547,0,0.333,0.0388,0.0,0.0924,1
468,0.717,9,0.179,0.199,0.0,0.132,1
469,0.78,1,0.202,0.0828,0.0,0.0857,1
470,0.747,4,0.365,0.0288,0.0,0.273,1
471,0.444,1,0.344,0.022,0.0,0.137,1
472,0.794,10,0.344,0.263,0.00324,0.0996,1
473,0.854,8,0.177,0.016,4.95e-05,0.117,1
474,0.443,5,0.241,0.147,0.0,0.124,1
475,0.766,0,0.07,0.0181,0.00172,0.342,1
476,0.0458,4,0.0762,0.973,0.0,0.0963,1
477,0.872,1,0.139,0.0476,0.00112,0.0543,1
478,0.671,0,0.0724,0.204,0.0,0.178,1
479,0.881,1,0.0443,0.00462,0.0266,0.111,1
480,0.658,1,0.079,0.25,0.0,0.111,1
481,0.696,0,0.211,0.578,0.0,0.0784,1
482,0.479,3,0.0261,0.544,0.00598,0.191,1
483,0.416,6,0.174,0.656,0.0,0.0981,1
484,0.62,0,0.11,0.0577,0.692,0.318,1
485,0.721,5,0.0514,0.0945,0.391,0.104,1
486,0.88,9,0.0454,0.191,0.0,0.0769,1
487,0.742,8,0.0485,0.00181,0.281,0.198,1
488,0.602,7,0.183,0.00376,3.34e-05,0.318,1
489,0.727,1,0.487,0.0136,0.0,0.259,1
490,0.652,5,0.28,0.278,0.0,0.339,1
491,0.792,2,0.0668,0.726,5.83e-06,0.122,1
